reporting_agency,real_property_unique_identifier,state_name,county_name,city_name,zip_code,latitude,longitude,real_property_type,asset_status,disposition_date,legal_interest_indicator,utilization,acres,historical_status
AGRICULTURE,L03.50509,IDAHO,CLARK,DUBOIS,83423.0,,,Land,Disposed,9/6/2023,Leased,,0,
AGRICULTURE,L03.50916,LOUISIANA,TERREBONNE,SCHRIEVER,70361.0,29.6436,-90.8587,Land,Disposed,9/13/2023,Leased,,52,
AGRICULTURE,L03.54487,MISSISSIPPI,PEARL RIVER,POPLARVILLE,39470.0,30.6588,-89.6358,Land,Disposed,4/6/2023,Leased,,31,
AGRICULTURE,L10098010322,ALASKA,ANCHORAGE,GIRDWOOD,99587.0,60.945235,-149.16927,Land,Disposed,9/22/2023,Leased,,5,
AGRICULTURE,L10102010322,ALASKA,PRINCE OF WALES-HYDER CA,COFFMAN COVE,99950.0,55.779431,-132.817995,Land,Disposed,4/30/2023,Leased,,16,
AGRICULTURE,L10226010295,CALIFORNIA,TULARE,JOHNSONDALE,93238.0,35.971775,-118.541356,Land,Disposed,4/11/2023,Leased,,0,
AGRICULTURE,L11307010323,ALASKA,PRINCE OF WALES-HYDER CA,CRAIG,99921.0,55.205667,-132.82143,Land,Disposed,10/1/2022,Owned,,184,Not Evaluated
AGRICULTURE,L1157403010602,IDAHO,BENEWAH,SANTA,83861.0,47.324542,-116.393217,Land,Disposed,10/1/2022,Leased,,320,
AGRICULTURE,L1250920010602,COLORADO,RIO BLANCO,MEEKER,81641.0,40.036827,-107.905058,Land,Disposed,10/1/2022,Leased,,3,
AGRICULTURE,L1282054320,OREGON,GRANT,JOHN DAY,97845.0,44.404181,-118.961691,Land,Disposed,10/1/2022,Leased,,1,
AGRICULTURE,L14907.007601,MINNESOTA,COOK,GRAND MARAIS,55604.0,47.8291,-90.4661,Land,Disposed,10/1/2022,Owned,,180,Not Evaluated
AGRICULTURE,L21302.008121,ALASKA,CHUGACH CA,WHITTIER,99686.0,60.77507,-148.680862,Land,Disposed,10/1/2022,Owned,,232,Not Evaluated
AGRICULTURE,L21311.008121,ALASKA,CHUGACH CA,CORDOVA,99574.0,60.541166,-145.742227,Land,Disposed,10/1/2022,Owned,,946,Not Evaluated
AGRICULTURE,L21350.001021,NEBRASKA,SIOUX,HARRISON,69346.0,42.661657,-103.485404,Land,Disposed,7/3/2023,Leased,,39,
AGRICULTURE,L21356.001021,COLORADO,OURAY,OURAY,81432.0,38.014184,-107.654671,Land,Disposed,10/1/2022,Leased,,2,
AGRICULTURE,L2248054320,NORTH CAROLINA,WAKE,RALEIGH,27695.0,35.8106,-78.7076,Land,Disposed,6/2/2023,Leased,,1,
AGRICULTURE,L315010634,IDAHO,LATAH,MOSCOW,83843.0,46.723928,-117.001777,Land,Disposed,10/1/2022,Leased,,3,
AGRICULTURE,L316010634,UTAH,UTAH,PROVO,84606.0,40.243334,-111.650349,Land,Disposed,10/1/2022,Leased,,1,
